Open,High,Low,Close,Volume,Dividends,Stock Splits,time,time_str,loc_index,unix_time,Mid
65767.734375,65881.734375,65767.734375,65881.734375,36950016,0.0,0.0,2024-07-24 02:55:00+00:00,02-55,35,1721789700.0,65824.734375
65871.7109375,65931.2265625,65871.7109375,65922.96875,0,0.0,0.0,2024-07-24 03:00:00+00:00,03-00,36,1721790000.0,65901.46875
65881.8046875,65881.8046875,65806.4296875,65806.4296875,29233152,0.0,0.0,2024-07-24 03:05:00+00:00,03-05,37,1721790300.0,65844.1171875
65831.671875,65910.296875,65830.375,65910.296875,6672384,0.0,0.0,2024-07-24 03:10:00+00:00,03-10,38,1721790600.0,65870.3359375
65930.828125,65986.9609375,65915.65625,65986.9609375,17362944,0.0,0.0,2024-07-24 03:15:00+00:00,03-15,39,1721790900.0,65951.30859375
65961.203125,65994.8359375,65961.203125,65991.8046875,28524544,0.0,0.0,2024-07-24 03:20:00+00:00,03-20,40,1721791200.0,65978.01953125
65981.9453125,65994.453125,65981.1875,65994.453125,43229184,0.0,0.0,2024-07-24 03:25:00+00:00,03-25,41,1721791500.0,65987.8203125
66006.0078125,66008.8359375,65983.0703125,65991.8203125,27918336,0.0,0.0,2024-07-24 03:30:00+00:00,03-30,42,1721791800.0,65995.953125
65985.0703125,66035.796875,65985.0703125,66005.0234375,29364224,0.0,0.0,2024-07-24 03:35:00+00:00,03-35,43,1721792100.0,66010.43359375
66011.34375,66074.0390625,66011.34375,66074.0390625,499712,0.0,0.0,2024-07-24 03:40:00+00:00,03-40,44,1721792400.0,66042.69140625
66096.015625,66100.28125,66051.8984375,66061.578125,41656320,0.0,0.0,2024-07-24 03:45:00+00:00,03-45,45,1721792700.0,66076.08984375
66047.9453125,66058.2734375,66047.9453125,66049.4296875,22974464,0.0,0.0,2024-07-24 03:50:00+00:00,03-50,46,1721793000.0,66053.109375
66044.375,66053.96875,66038.859375,66053.96875,0,0.0,0.0,2024-07-24 03:55:00+00:00,03-55,47,1721793300.0,66046.4140625
66049.25,66049.25,65996.234375,65997.1875,0,0.0,0.0,2024-07-24 04:00:00+00:00,04-00,48,1721793600.0,66022.7421875
66005.171875,66009.2890625,65971.0078125,65971.0078125,16400384,0.0,0.0,2024-07-24 04:05:00+00:00,04-05,49,1721793900.0,65990.1484375
65960.5625,65979.6171875,65937.609375,65961.1328125,13131776,0.0,0.0,2024-07-24 04:10:00+00:00,04-10,50,1721794200.0,65958.61328125
65957.2109375,65962.7734375,65894.9609375,65934.4453125,16912384,0.0,0.0,2024-07-24 04:15:00+00:00,04-15,51,1721794500.0,65928.8671875
65924.078125,65924.078125,65908.7265625,65911.9921875,0,0.0,0.0,2024-07-24 04:20:00+00:00,04-20,52,1721794800.0,65916.40234375
65938.1171875,65938.1171875,65917.1015625,65921.453125,0,0.0,0.0,2024-07-24 04:25:00+00:00,04-25,53,1721795100.0,65927.609375
65927.0546875,65998.8359375,65927.0546875,65996.1953125,0,0.0,0.0,2024-07-24 04:30:00+00:00,04-30,54,1721795400.0,65962.9453125
66002.875,66003.5703125,65949.4453125,65949.4453125,0,0.0,0.0,2024-07-24 04:35:00+00:00,04-35,55,1721795700.0,65976.5078125
65955.1015625,65961.2578125,65850.15625,65850.15625,0,0.0,0.0,2024-07-24 04:40:00+00:00,04-40,56,1721796000.0,65905.70703125
65825.3828125,65875.0625,65802.3828125,65851.0234375,0,0.0,0.0,2024-07-24 04:45:00+00:00,04-45,57,1721796300.0,65838.72265625
65861.8828125,65879.3046875,65861.8828125,65879.3046875,0,0.0,0.0,2024-07-24 04:50:00+00:00,04-50,58,1721796600.0,65870.59375
65850.09375,65885.2578125,65838.046875,65885.0625,0,0.0,0.0,2024-07-24 04:55:00+00:00,04-55,59,1721796900.0,65861.65234375
65860.765625,65878.265625,65855.859375,65855.859375,0,0.0,0.0,2024-07-24 05:00:00+00:00,05-00,60,1721797200.0,65867.0625
65812.046875,65814.1015625,65781.0390625,65814.1015625,0,0.0,0.0,2024-07-24 05:05:00+00:00,05-05,61,1721797500.0,65797.5703125
65826.0078125,65826.0078125,65770.7578125,65800.3515625,0,0.0,0.0,2024-07-24 05:10:00+00:00,05-10,62,1721797800.0,65798.3828125
65790.7734375,65790.7734375,65745.3125,65745.3125,0,0.0,0.0,2024-07-24 05:15:00+00:00,05-15,63,1721798100.0,65768.04296875
65736.7265625,65736.7265625,65687.65625,65687.65625,0,0.0,0.0,2024-07-24 05:20:00+00:00,05-20,64,1721798400.0,65712.19140625
65690.15625,65697.7421875,65644.3046875,65644.3046875,0,0.0,0.0,2024-07-24 05:25:00+00:00,05-25,65,1721798700.0,65671.0234375
65658.484375,65757.15625,65658.484375,65757.15625,0,0.0,0.0,2024-07-24 05:30:00+00:00,05-30,66,1721799000.0,65707.8203125
65761.1171875,65787.375,65755.984375,65755.984375,0,0.0,0.0,2024-07-24 05:35:00+00:00,05-35,67,1721799300.0,65771.6796875
65749.734375,65749.734375,65715.2734375,65737.7890625,0,0.0,0.0,2024-07-24 05:40:00+00:00,05-40,68,1721799600.0,65732.50390625
65741.3828125,65760.546875,65741.3828125,65760.109375,0,0.0,0.0,2024-07-24 05:45:00+00:00,05-45,69,1721799900.0,65750.96484375
65752.7578125,65800.8671875,65748.421875,65800.8671875,0,0.0,0.0,2024-07-24 05:50:00+00:00,05-50,70,1721800200.0,65774.64453125
65796.0859375,65834.6015625,65796.0859375,65814.1640625,0,0.0,0.0,2024-07-24 05:55:00+00:00,05-55,71,1721800500.0,65815.34375
65815.625,65818.8671875,65781.3984375,65818.8671875,0,0.0,0.0,2024-07-24 06:00:00+00:00,06-00,72,1721800800.0,65800.1328125
65802.03125,65892.78125,65802.03125,65892.78125,0,0.0,0.0,2024-07-24 06:05:00+00:00,06-05,73,1721801100.0,65847.40625
65865.984375,65874.875,65858.8828125,65874.875,0,0.0,0.0,2024-07-24 06:10:00+00:00,06-10,74,1721801400.0,65866.87890625
65873.484375,65960.0859375,65873.484375,65960.0859375,0,0.0,0.0,2024-07-24 06:15:00+00:00,06-15,75,1721801700.0,65916.78515625
65984.65625,65984.65625,65933.34375,65933.34375,0,0.0,0.0,2024-07-24 06:20:00+00:00,06-20,76,1721802000.0,65959.0
65927.125,65927.125,65911.1171875,65911.1171875,0,0.0,0.0,2024-07-24 06:25:00+00:00,06-25,77,1721802300.0,65919.12109375
65892.3515625,65949.9921875,65892.3515625,65917.9140625,0,0.0,0.0,2024-07-24 06:30:00+00:00,06-30,78,1721802600.0,65921.171875
65908.4453125,65927.8671875,65884.3828125,65884.3828125,0,0.0,0.0,2024-07-24 06:35:00+00:00,06-35,79,1721802900.0,65906.125
65870.609375,65870.609375,65844.375,65844.375,0,0.0,0.0,2024-07-24 06:40:00+00:00,06-40,80,1721803200.0,65857.4921875
65833.1796875,65894.0703125,65833.1796875,65894.0703125,0,0.0,0.0,2024-07-24 06:45:00+00:00,06-45,81,1721803500.0,65863.625
65887.3125,65887.3125,65859.453125,65864.3203125,0,0.0,0.0,2024-07-24 06:50:00+00:00,06-50,82,1721803800.0,65873.3828125
65871.15625,65916.0078125,65871.15625,65898.2421875,0,0.0,0.0,2024-07-24 06:55:00+00:00,06-55,83,1721804100.0,65893.58203125
65898.625,65898.625,65891.265625,65891.359375,0,0.0,0.0,2024-07-24 07:00:00+00:00,07-00,84,1721804400.0,65894.9453125
